"case_type","case_number","status","incident_date","incident_time","incident_type","incident_location_type","incident_location","incident_city","incident_state","incident_zip","incident_county","LEA","child_id","child_race","child_gender","child_perceived_age","offender_gender","offender_race","offender_age","offender_perceived_age","vehicle_style","vehicle_color","offender_method","offender_method_detail","offender_statement","how_got_away","how_got_away_detail","child_amount","offender_amount"
"Attempted Abduction",1125373,"Closed","2009-06-16","13:00","Attempted Abduction","Recreational - Other","601 River St","Alpena","MI",49707,"Alpena","Alpena (MI) PD","386214","Unknown","Female","Unknown","Male","White",NA,"32-37","Van","White","other","Stated he was parent","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1142108,"Closed","2010-02-25","15:30","Suspicious Incident","School - Bus Stop","Unnkown Address","Bonita Springs","FL",34133,"Lee","Lee Co (FL) SO","404934","Unknown","Female","Unknown","Male","White",NA,"30","Van","Blue","other","Knew Mother","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1097343,"Closed","2007-07-29","01:00","Attempted Abduction","Unknown","Unknown address","Titusville","PA",16354,"Crawford","Titusville (PA) PD","354984","Unknown","Male","12","Male","Unknown","20",NA,"Van",NA,"ride",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1120740,"Closed","2009-04-17","00:00","Abduct & Release","Parking Lot/Garage","11301 Georgia Ave","Silver Spring","MD",20902,"Montgomery","Montgomery Co. (MD) PD","380945","Unknown","Female","5","Male","Mid. Eastern","28",NA,"Van",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1122743,"Closed","2009-05-09","00:00","Attempted Abduction","Street","E 17th St","Chattanooga","TN",37408,"Hamilton","East Ridge (TN) PD","383236/383239","Unknown/Unknown","Female/Female","13/13","Male","Hispanic","33",NA,"Van","Red","ride",NA,NA,"Adult Intervened",NA,2,1
"Attempted Abduction",1040664,"Closed","2006-03-24","08:00","Attempted Abduction","Street","4320 W 61st St","Chicago","IL",60629,"Cook","Chicago (IL) PD","293168","Unknown","Female","15","Male","Hispanic","33",NA,"Van","White","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1076082,"Closed","2007-07-19","22:00","Attempted Abduction","Parking Lot/Garage","Unknown address","Cleveland","TN",37312,"Bradley","Cleveland (TN) PD","330588","White","Female","3","Male","Hispanic",NA,"30","Van","Green, Dark","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1124377,"Closed","2009-06-03","22:15","Attempted Abduction","Street","3600 W 111th St","Chicago","IL",60655,"Cook","Chicago (IL) PD","385069","Unknown","Female","13","Male","Hispanic",NA,"25-30","Van","Black","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1088938,"Closed","2008-02-09","00:00","Abduct & Release","Parking Lot/Garage","4624 W Irlo Bronson Memorial Hwy - Budget Host Inn","Kissimmee","FL",34746,"Osceola","Osceola Co (FL) SO","345479","Unknown","Female","5","Male","Black","30",NA,"Van",NA,"money/other","Drawing",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1120599,"Closed","2009-04-14","11:45","Attempted Abduction","School - Facility","2534 Lindley Terrace","Rockville","MD",20850,"Montgomery","Rockville City (MD) PD","380780","White","Male","5","Female","Asian","39",NA,"Van",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1078848,"Closed","2007-07-30","04:00","Attempted Abduction","Home - Residence","100 Pine Hill Rd","Chelmsford","MA",1824,"Middlesex","Chelmsford (MA) PD","333615","White","Female","15","Male","White","43",NA,"Truck",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1134795,"Closed","2009-11-02","18:30","Suspicious Incident","Outdoor - Open Area","1301 Timberlane Rd - Gilchrist ES","Tallahassee","FL",32312,"Leon","Tallahassee (FL) PD","396739","White","Male","10","Male","White",NA,"25-30","Truck","White","ride",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1104629,"Closed","2008-08-28","17:00","Attempted Abduction","School - Bus Stop","3700 Hickory Ln","Willis","TX",77378,"Montgomery","Montgomery Co (TX) SO","363109","Unknown","Male","7","Male/Female","Hispanic/Hispanic",NA,"30-39/30-39","Sport Utility","Red","other","Question",NA,"Adult Intervened",NA,1,2
"Attempted Abduction",1131719,"Closed","2009-08-28","17:00","Attempted Abduction","School - Bus Stop","Hickory Ln","Willis","TX",77378,"Montgomery","Montgomery Co (TX) SO","393312","Unknown","Male","7","Male/Female","Hispanic/Hispanic",NA,"30-39/30-39","Sport Utility","Red","ride",NA,NA,"Adult Intervened",NA,1,2
"Attempted Abduction",1122650,"Closed","2009-05-11","17:30","Attempted Abduction","Street","8164 E Brainerd Rd","Chattanooga","TN",37421,"Hamilton","Chattanooga (TN) PD","383129/383131","White/White","Female/Male","6/5","Male","White","35",NA,"Sport Utility",NA,"other","Cookies",NA,"Adult Intervened",NA,2,1
"Attempted Abduction",1092661,"Closed","2008-03-28","13:11","Abduct & Release","Med - Hospital","1401 W Seminole Blvd - Central FL Reg Hospital","Sanford","FL",32771,"Seminole","Sanford (FL) PD","349767","Biracial","Female","Infant","Female","White","39",NA,"Sport Utility","Blue","other","Impersonated nurse",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1111286,"Closed","2008-12-02","00:00","Attempted Abduction","School - Bus Stop","400 Melodywood Ct","Friendswood","TX",77546,"Galveston","Friendswood (TX) PD","370463","Unknown","Unknown","Unknown","Female","White",NA,"Unknown","Sport Utility","White","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1116954,"Closed","2009-02-22","23:14","Attempted Abduction","Other","900 W Capitol Ave","West Sacramento","CA",95691,"Yolo","West Sacramento (CA) PD","376788","Unknown","Female","5","Male","White",NA,"30-40","Sport Utility","Silver","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1129026,"Closed","2009-07-31","16:02","Exposure","Park","900 N Hunt Club Rd","Gurnee","IL",60031,"Lake","Gurnee (IL) PD","390276","Unknown","Unknown","Unknown","Male","White","53",NA,"Sport Utility","Gray","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1135981,"Closed","2009-11-20","07:49","Attempted Abduction","Street","Orange Ave","Perris","CA",92571,"Riverside","Perris (CA) PD","398080","Unknown","Female","10","Male","White","45",NA,"Sport Utility",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1099617,"Closed","2008-07-01","14:55","Attempted Abduction","Home - Residence","Unknown address","Harmony","IN",47853,"Clay","Clay Co (IN) SO","357518","Unknown","Female","4","Male","Unknown",NA,"20-30","Sport Utility","White","ride",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1135683,"Closed","2009-11-07","00:00","Attempted Abduction","Parking Lot/Garage","Unknown Address - Walmart Supercenter","Pensacola","FL",32501,"Escambia","Escambia Co (FL) SO","397747","White","Male","Infant","Female","Unknown",NA,"Unknown","Sport Utility","White","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1104846,"Closed","2008-09-02","00:00","Attempted Abduction","School - Bus Stop","Ridgecrest Dr & Lake Conroe Hills Dr","Willis","TX",77318,"Montgomery","Montgomery Co (TX) SO","363355","Unknown","Male","5","Female","Hispanic",NA,"30-39","Sport Utility","Red","other","Question",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1131720,"Closed","2009-09-02","12:00","Attempted Abduction","School - Bus Stop","Ridgecrest Dr & Lake Conroe Hills Dr","Willis","TX",77318,"Montgomery","Montgomery Co (TX) SO","393313","Unknown","Male","5","Female","Hispanic",NA,"30-39","Sport Utility","Red","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1146877,"Closed","2010-04-28","00:00","Attempted Abduction","School - Bus Stop","Unknown Address","Los Angeles","CA",90001,"Los Angeles","Los Angeles (CA) PD","410350","Unknown","Female","18","Male","Hispanic","23",NA,"Sport Utility","White","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1020726,"Closed","2005-08-09","20:10","Attempted Abduction","Street","Blue Valley Dr & Franklin St","Pen Argyl","PA",18072,"Northampton","Plainfield Twp (PA) PD","268894","White","Female","16","Male","Black",NA,"Unknown","Sport Utility","White","other","Needed help",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1111836,"Closed","2008-11-27","00:00","Attempted Abduction","Home - Residence","2400 NW 13th Ct","Fort Lauderdale","FL",33311,"Broward","Broward Co (FL) SO","371080","Unknown","Male","6","Female","Black",NA,"32-38","Sport Utility","Green","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1131654,"Closed","2009-09-22","05:50","Attempted Abduction","Street","Mullanphy Ln & Florissant Park Dr","Florissant","MO",63031,"St Louis","Florissant (MO) PD","393235","Unknown","Female","16","Male","Black","39",NA,"Sport Utility","Black","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1091593,"Closed","2008-03-10","13:45","Attempted Abduction","Street","Wah Ave & Woodbine Ave","Sacramento","CA",95822,"Sacramento","Sacramento (CA) PD","348542","Unknown","Female","Infant","Male/Male/Female","Black/Black/Black",NA,"40-45/24-25/35","Sedan, 4 door","Maroon","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,3
"Attempted Abduction",1089158,"Closed","2007-03-15","15:20","Attempted Abduction","Truck/Rest Stop","4032 W Hwy 326 - Pilot Truck Stop","Ocala","FL",34482,"Marion","Marion Co (FL) SO","345748","Unknown","Female","8","Male/Female","White/White","47/54",NA,"Sedan, 4 door","Blue","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,2
"Attempted Abduction",1094576,"Closed","2008-04-24","16:15","Attempted Abduction","Street","Unknown address","Penitas","TX",78576,"Hildago","Hidalgo Co (TX) SO","351976/351977/351978","Unknown/Unknown/Unknown","Male/Female/Female","8/6/7","Male/Female","Hispanic/Hispanic","41/36",NA,"Sedan, 4 door","Blue, Light","other","Directions","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,3,2
"Attempted Abduction",1133684,"Closed","2009-10-10","00:00","Attempted Abduction","Street","1200 Amber Ct","Orange Park","FL",32065,"Clay","Orange Park (FL) PD","395516","Unknown","Female","5","Male/Female","Hispanic/Hispanic",NA,"Unknown/Unknown","Sedan, 4 door","Blue","other","Parent sent","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,2
"Attempted Abduction",1146847,"Closed","2010-04-14","00:00","Suspicious Incident","Street","Unknown address","Woodland","CA",95695,"Yolo","Woodland (CA) PD","410314","Unknown","Female","12","Male/Male","Hispanic/Hispanic",NA,"30/20","Sedan, 4 door","Gray","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,2
"Attempted Abduction",1039878,"Closed","2006-03-05","17:30","Attempted Abduction","Street","Unknown address","Benbrook","TX",76109,"Tarrant","Benbrook (TX) PD","292334","Unknown","Unknown","Infant","Male/Male","White/Black",NA,"20-29/Unknown","Sedan, 4 door","White","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,2
"Attempted Abduction",1098006,"Closed","2008-06-10","22:00","Attempted Abduction","Street","S Broadway St & Cormier Rd","Ashwaubenon","WI",54304,"Brown","Ashwaubenon (WI) DPS","355719/355720","Unknown/Unknown","Female/Female","12/14","Male","White",NA,"20-25","Sedan, 4 door","Silver","ride/other","Impersonated security","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,2,1
"Attempted Abduction",1120446,"Closed","2009-04-04","12:03","Attempted Abduction","Home - Residence","430 N Crotty Ln","Seneca","IL",61360,"LaSalle","Seneca (IL) PD","380623/380624","White/White","Female/Female","8/9","Male","White","35",NA,"Sedan, 4 door","White","animal/money",NA,"TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,2,1
"Attempted Abduction",1017922,"Closed","2005-06-24","18:14","Abduct & Release","Auto / Vehicle","5720 Frankford Av - Diamond Shamrock","Lubbock","TX",79424,"Lubbock","Lubbock (TX) PD","265944","White","Male","3","Female","White","33",NA,"Sedan, 4 door","Maroon","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1021226,"Closed","2005-08-13","10:00","Attempted Abduction","Street","South Salina St and Castle St","Syracuse","NY",13205,"Onondaga","Syracuse (NY) PD","269402","Black","Female","10","Male","White","49",NA,"Sedan, 4 door","Red","ride",NA,"TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1022140,"Closed","2005-08-23","10:30","Attempted Abduction","Home - Residence","4903 Chapman Pkwy","Hamburg","NY",14075,"Erie","Hamburg (NY) PD","270421","Unknown","Female","4","Male","White",NA,"65-70","Sedan, 4 door","Black","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1086995,"Closed","2008-01-07","15:00","Attempted Abduction","School - Bus Stop","Fir Tree Rd SE & Rainier Rd SE","Olympia","WA",98513,"Thurston","Thurston Co (WA) SO","343176","Unknown","Female","14","Male","White",NA,"20-25","Sedan, 4 door","White","money/ride/other","Sex","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1093257,"Closed","2008-04-08","19:30","Attempted Abduction","Home - Residence","Forsythe Rd & Woodville Rd","Toledo","OH",43605,"Lucas","Toledo (OH) PD","350473","Biracial","Female","4","Male","White",NA,"42-48","Sedan, 4 door","Red","animal",NA,"TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1121433,"Closed","2009-04-24","11:00","Attempted Abduction","Home - Residence","925 Park Ave","Schenectady","NY",12308,"Schenectady","Schenectady (NY) PD","381756","White","Male","2","Male","White",NA,"Unknown","Sedan, 4 door","White","other","Unknown","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1122982,"Closed","2005-06-14","13:45","Attempted Abduction","Home - Residence","33rd St & Avenue K","Fort Madison","IA",52627,"Lee","Ft Madison (IA) PD","383531","White","Male","2","Male","White",NA,"15-25","Sedan, 4 door","Maroon","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1123014,"Closed","2009-05-04","19:12","Exposure","Street","1101 SW Jewell Ave","Topeka","KS",66604,"Shawnee","Topeka (KS) PD","383567","Unknown","Unknown","Unknown","Male","White",NA,"Unknown","Sedan, 4 door","Gray","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1082270,"Closed","2006-07-09","15:23","Attempted Abduction","Street","393 Shawmut Ave","Boston","MA",2118,"Suffolk","Boston (MA) PD","337576","Unknown","Female","8","Male","Unknown",NA,"Unknown","Sedan, 4 door","White","other","Unknown","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1082865,"Closed","2007-10-26","15:00","Attempted Abduction","Street","1100 Kottinger Dr","Pleasanton","CA",94566,"Alameda","Pleasanton (CA) PD","338253","Unknown","Female","9","Female","Unknown",NA,"50-59","Sedan, 4 door",NA,"ride/other","Parent sent",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1124392,"Closed","2009-06-03","07:05","Attempted Abduction","Street","2400 Coolidge St","Hollywood","FL",33020,"Broward","Hollywood (FL) PD","385086","Unknown","Female","Unknown","Male","Unknown",NA,"25-29","Sedan, 4 door",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1041145,"Closed","2006-04-05","00:00","Abduct & Release","Home - Residence","1100 NW 20th St","Fort Worth","TX",76164,"Tarrant","Fortworth (TX) PD","293703","Hispanic","Male","5","Male","Hispanic",NA,"21-25","Sedan, 4 door",NA,"candy",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1100521,"Closed","2008-07-14","21:30","Attempted Abduction","Street","NW Avondale Dr & NW 161st Ave","Beaverton","OR",97006,"Washington","Washington Co (OR) SO","358588","Unknown","Female","17","Male","Hispanic",NA,"25-30","Sedan, 4 door","White","other","Directions",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1146851,"Closed","2010-04-27","17:00","Suspicious Incident","Street","Unknown address","Woodland","CA",95695,"Yolo","Woodland (CA) PD","410318","Unknown","Female","15","Male","Hispanic",NA,"25","Sedan, 4 door","Silver","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1044896,"Closed","2006-05-20","07:35","Attempted Abduction","Street","6000 S Normal Ave","Chicago","IL",60621,"Cook","Chicago (IL) PD","297725","Black","Female","14","Male","Black",NA,"35-40","Sedan, 4 door","White","ride",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1080075,"Closed","2007-09-24","07:15","Attempted Abduction","Street","6200 S Loomis Blvd","Chicago","IL",60636,"Cook","Chicago (IL) PD","335118","Black","Female","14","Male","Black",NA,"25-35","Sedan, 4 door",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1081139,"Closed","2007-01-22","08:20","Attempted Abduction","Street","600 S Wabash Ave","Chicago","IL",60605,"Cook","Chicago (IL) PD","336375","Unknown","Female","12","Male","Black",NA,"50-59","Sedan, 4 door","Silver","other","Unknown",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1085433,"Closed","2007-11-30","00:00","Attempted Abduction","Street","48800 Washington St - Kouma Village Housing Develo","Fort Hood","TX",76544,"Bell","Fort Hood (TX) MP","341315","Unknown","Female","Unknown","Male","Black",NA,"Unknown","Sedan, 4 door","White","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1095229,"Closed","2008-04-25","00:00","Attempted Abduction","School - Bus Stop","Bell St & Cleveland St","Chagrin Falls","OH",44022,"Cuyahoga","Chagrin Falls Village (OH) PD","352690","Unknown","Female","6","Male","Black",NA,"Unknown","Sedan, 4 door",NA,"animal",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1097542,"Closed","2008-04-25","00:00","Attempted Abduction","School - Bus Stop","Unknown address - Country Estates Subdivision","South Russell","OH",44022,"Cuyahoga","South Russell (OH) VPD","355207","Unknown","Female","6","Male","Black",NA,"Unknown","Sedan, 4 door",NA,"animal",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1112545,"Closed","2008-12-16","09:55","Attempted Abduction","Street","5600 Loretto Ave","Philadelphia","PA",19124,"Philadelphia","Philadelphia (PA) PD","371855","Unknown","Female","13","Male","Black",NA,"30-39","Sedan, 4 door",NA,"other","Conversation",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1113957,"Closed","2009-01-09","15:30","Attempted Abduction","Street","7100 Gettysburg Dr","Richmond","TX",77469,"Fort Bend","Fort Bend Co (TX) SO","373380","Unknown","Female","9","Male","Black",NA,"Unknown","Sedan, 4 door","Black","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1145876,"Closed","2010-04-18","17:15","Attempted Abduction","Street","2500 Washington Blvd","Baltimore","MD",21230,"Baltimore","Baltimore (MD) PD","409195","Unknown","Female","15","Male","Black","44",NA,"Sedan, 4 door",NA,"other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1009284,"Closed","2005-03-09","00:00","Attempted Abduction","Street","Reading Rd & Seymour Ave","Cincinnati","OH",45237,"Hamilton","Cincinnati (OH) PD","257322","Unknown","Female","13","Male","White",NA,"45-55","Sedan, 2 door","Burgundy","other","Unknown",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1086741,"Closed","2008-01-02","14:42","Attempted Abduction","Parking Lot/Garage","141 Dorman Centre Dr - Walmart","Spartanburg","SC",29301,"Spartanburg","Spartanburg (SC) DPS","342884","White","Female","12","Male","White",NA,"18-23","Sedan, 2 door","Blue","other","Question",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1114935,"Closed","2009-01-28","08:09","Attempted Abduction","Street","14400 Palm Ave","Hacienda Heights","CA",91745,"Los Angeles","Los Angeles Co (CA) SD","374469","Unknown","Male","8","Male","Hispanic",NA,"49-50","Sedan, 2 door","Gray","other","None",NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1109559,"Closed","2008-11-05","17:00","Attempted Abduction","Parking Lot/Garage","1855 Manchester Rd - Monroe MS","Wheaton","IL",60187,"Du Page","Wheaton (IL) PD","368546","Unknown","Female","Unknown","Male","White",NA,"24-26","Sedan","Turquoise","ride",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1120050,"Closed","2009-04-07","18:30","Attempted Abduction","Street","618 N 12th St","Lafayette","IN",47904,"Tippecanoe","Lafayette (IN) PD","380180","Unknown","Female","Unknown","Male","White","66",NA,"Sedan","Maroon","ride",NA,NA,"Adult Intervened",NA,1,1
"Attempted Abduction",1090943,"Closed","2008-03-07","14:15","Attempted Abduction","School - Facility","703 S Russell St - Westview ES","Champaign","IL",61821,"Champaign","Champaign (IL) PD","347827","Unknown","Female","8","Male","Black",NA,"25-33","Sedan",NA,"other","Impersonated family",NA,"Adult Intervened",NA,1,1
