"incident_zip","case_type","case_number","status","incident_date","incident_time","incident_type","incident_location_type","incident_location","incident_city","incident_state","incident_county","LEA","child_id","child_race","child_gender","child_perceived_age","offender_gender","offender_race","offender_age","offender_perceived_age","vehicle_style","vehicle_color","offender_method","offender_method_detail","offender_statement","how_got_away","how_got_away_detail","child_amount","offender_amount","Latitude","Longitude"
1077,"Attempted Abduction",1134827,"Closed","2009-10-28","00:00","Attempted Abduction","Street","Unknown Address","Southwick","MA","Hampden","Southwick (MA) PD","396778","Unknown","Male","10","Female","Unknown",NA,"Unknown","Van",NA,"ride/other","Toy Store",NA,"Ran Away",NA,1,1,42.0511,-72.7706
1089,"Attempted Abduction",1119976,"Closed","2009-03-13","00:00","Abduct & Release","Parking Lot/Garage","10 Pearson Way","West Springfield","MA","Hampden","Springfield (MA) PD","380097","Unknown","Female","9","Male","Hispanic",NA,"25-29",NA,"Blue, Dark","other","Parent sent",NA,"Released",NA,1,1,42.1151,-72.6411
1201,"Attempted Abduction",1265256,"Closed","2016-03-23","08:00","Attempted Abduction","Street","Unknown","Pittsfield","MA","Berkshire","Pittsfield (MA) PD - Detective Bureau","558363","Unknown","Female","Unknown","Male","Unknown",NA,"Unknown","Van","Black","other","Question",NA,"Unknown",NA,1,1,42.4531,-73.2471
1201,"Attempted Abduction",1110554,"Closed","2008-11-18","15:15","Suspicious Incident","Street","Doreen St & Alba Ave","Pittsfield","MA","Berkshire","Pittsfield (MA) PD","369647","White","Male","9","Male","White",NA,"Unknown","Van","Green, Dark","other","Order/Demand",NA,"Ran Away",NA,1,1,42.4531,-73.2471
1237,"Attempted Abduction",1288049,"Closed","2017-01-29","17:00","Attempted Abduction","Retail - Mall/ Shop Ctr","Old State Rd & Rt 8","Lanesborough","MA","Berkshire","Lanesborough (MA) PD","589250","Unknown","Female","9","Male","White",NA,"Unknown",NA,NA,"other","None",NA,"Adult/Child Intervened","Released; Ran Away",1,1,42.5173,-73.2282
1301,"Attempted Abduction",1109432,"Closed","2008-10-31","00:00","Abduct & Release","Street","Unknown address","Greenfield","MA","Franklin","Greenfield (MA) PD","368399","Unknown","Male","15","Male","Unknown","50",NA,NA,"Red","ride",NA,NA,"Ran Away",NA,1,1,42.6013,-72.6236
1420,"Attempted Abduction",1136829,"Closed","2009-12-04","16:45","Suspicious Incident","Street","River St","Fitchburg","MA","Worcester","Fitchburg (MA) PD","399041","Unknown","Female","9","Male","White","54",NA,NA,NA,"other","Questions",NA,"Ran Away",NA,1,1,42.5796,-71.8031
1460,"Attempted Abduction",1150010,"Closed","2010-06-09","15:00","Suspicious Incident","School - Bus Stop","Gilson Rd","Littleton","MA","Middlesex","Littleton (MA) PD","413804","Unknown","Female","15","Male","White",NA,"Unknown",NA,"Silver","other","None",NA,"None",NA,1,1,42.5401,-71.4877
1469,"Attempted Abduction",1276712,"Closed","2016-09-13","15:10","Attempted Abduction","Street","Dudley Rd","Townsend","MA","Middlesex","Townsend (MA) PD","574404/574415","Unknown/Unknown","Male/Male","Unknown/Unknown","Male","Unknown",NA,"Unknown",NA,NA,"other",NA,NA,"Unknown",NA,2,1,42.6525,-71.6896
1501,"Attempted Abduction",1145572,"Closed","2010-04-13","00:00","Attempted Abduction","School - Facility","99 Auburn St - Auburn HS","Auburn","MA","Worcester","Auburn (MA) PD","408854","Unknown","Female","15","Male","White",NA,"Unknown",NA,NA,"other","Impersonated family",NA,"Adult Intervened",NA,1,1,42.2055,-71.8391
1524,"Attempted Abduction",1282689,"Closed","2016-11-26","00:00","Attempted Abduction","Street","Green St & Baldwin St","Leicester","MA","Worcester","Leicester (MA) PD","582296/582301","Unknown/Unknown","Male/Male","Unknown/Unknown","Male","Unknown",NA,"20-29","Sedan, 4 door","Burgundy","other","Video Games; Waved",NA,"Ignored/Refused",NA,2,1,42.237,-71.9188
1527,"Attempted Abduction",1045029,"Closed","2006-05-05","19:45","Attempted Abduction","Home - Residence","West Main St & Carleton Rd","Millbury","MA","Worcester","Millbury (MA) PD","297869","White","Female","10","Male","White",NA,"35-45",NA,NA,"other","None",NA,"Released",NA,1,1,42.1968,-71.7644
1535,"Attempted Abduction",1080181,"Closed","2007-09-24","08:15","Attempted Abduction","Street","332 N Main St","North Brookfield","MA","Worcester","North Brookfield (MA) PD","335232/335233","White/White","Male/Male","6/12","Male","White","51",NA,"Coupe","White","other","None",NA,"Adult Intervened",NA,2,1,42.2665,-72.0821
1566,"Attempted Abduction",1136294,"Closed","2009-11-24","17:00","Sexual Assault","Retail - Mall/ Shop Ctr","194 Main Street - JC Penney","Sturbridge","MA","Worchester","Sturbridge (MA) PD","398443","Unknown","Male","Unknown","Male","Hispanic","26",NA,NA,NA,"other","Conversation",NA,"Released",NA,1,1,42.1126,-72.0842
1568,"Attempted Abduction",1247800,"Closed","2015-05-01","19:00","Suspicious Incident","Street","Elm St","Upton","MA","Worcester","Upton (MA) PD","532497","White","Female","11","Male","White",NA,"55-57",NA,"Gray","other","Directions",NA,"Ran Away",NA,1,1,42.1756,-71.6032
1569,"Attempted Abduction",1247625,"Closed","2015-04-29","15:00","Attempted Abduction","Street","Sutton St & Maguire Rd","Uxbridge","MA","Worcester","Uxbridge (MA) PD","532214","Unknown","Male","Unknown","Male","Unknown",NA,"60-69","Sedan, 4 door","Gray","ride",NA,NA,"Ignored/Refused","The child also yelled at the suspect.",1,1,42.0744,-71.6329
1585,"Attempted Abduction",1086194,"Closed","2007-12-20","14:30","Attempted Abduction","School - Bus Stop","Unknown address","West Brookfield","MA","Worcester","West Brookfield (MA) PD","342280","Unknown","Female","14","Male","White",NA,"30-39","Sedan, 4 door","Dark","ride",NA,NA,"Ignored/Refused",NA,1,1,42.2441,-72.1511
1588,"Attempted Abduction",1266972,"Closed","2016-03-30","17:30","Exposure","Street","163 Border St","Northbridge","MA","Worcester","Northbridge (MA) PD","560812","Unknown","Unknown","Unknown","Female","Unknown",NA,"Unknown",NA,NA,"other","None",NA,"Other","Suspect left the area",1,1,42.1153,-71.6644
1601,"Attempted Abduction",1125666,"Closed","2008-08-19","15:00","Attempted Abduction","Street","Ripley St & Main St","Worcester","MA","Worcester","Worcester (MA) PD","386528/386529","Unknown/Unknown","Female/Female","12/7","Male","Unknown",NA,"40-49","Sedan, 4 door","Blue, Light","other","Unknown",NA,"Fought/Broke Free",NA,2,1,42.2626,-71.8023
1603,"Attempted Abduction",1266264,"Closed","2016-04-06","07:30","Attempted Abduction","Street","Apricot St","Worcester","MA","Worcester","Worcester (MA) PD","559848","Unknown","Female","15","Male","Hispanic","22",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,42.245,-71.838
1603,"Attempted Abduction",1266266,"Closed","2016-04-06","07:15","Suspicious Incident","Street","Apricot St","Worcester","MA","Worcester","Worcester (MA) PD","559850","Unknown","Female","Unknown","Male","Hispanic","22",NA,NA,NA,"other","None",NA,"Unknown",NA,1,1,42.245,-71.838
1603,"Attempted Abduction",1266265,"Closed","2016-04-06","08:15","Attempted Abduction","Street","Apricot St","Worcester","MA","Worcester","Worcester (MA) PD","559849","Unknown","Female","14","Male","Hispanic","22",NA,NA,NA,"other","None",NA,"Fought/Broke Free","Suspect ran away",1,1,42.245,-71.838
1603,"Attempted Abduction",1227661,"Closed","2014-01-13","00:00","Suspicious Incident","Street","Crystal St & Illinois St","Worcester","MA","Worcester","Worcester (MA) PD","502220/502221","Unknown/Unknown","Female/Female","Unknown/Unknown","Male","Hispanic",NA,"Unknown",NA,NA,"other","None",NA,"Ran Away",NA,2,1,42.245,-71.838
1604,"Attempted Abduction",1108548,"Closed","2008-05-01","22:00","Attempted Abduction","Street","Franklin St & Grafton St","Worcester","MA","Worcester","Worcester (MA) PD","367433","Unknown","Female","15","Male","Asian","34",NA,NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,42.2541,-71.7746
1608,"Attempted Abduction",1227662,"Closed","2014-01-12","00:00","Suspicious Incident","School - Bus Stop","400 Main St","Worcester","MA","Worcester","Worcester (MA) PD","502219","Unknown","Female","Unknown","Male","Hispanic",NA,"Unknown",NA,"Black","other","None",NA,"Ignored/Refused",NA,1,1,42.2624,-71.8003
1610,"Attempted Abduction",1228300,"Closed","2014-01-27","07:00","Attempted Abduction","Street","May St & Hollywood St","Worcester","MA","Worcester","Worcester (MA) PD","503183","Unknown","Female","14","Male","White",NA,"Unknown","Van","White","animal",NA,NA,"Ran Away",NA,1,1,42.2492,-71.8108
1701,"Attempted Abduction",1270852,"Closed","2016-06-20","17:04","Attempted Abduction","Parking Lot/Garage","1 Worcester Rd","Framingham","MA","Middlesex","Sherborn (MA) PD/Framingham (MA) PD","566283","Unknown","Female","14","Male","White","25",NA,NA,"Cream","money",NA,NA,"Ignored/Refused",NA,1,1,42.3007,-71.4255
1702,"Attempted Abduction",1081124,"Closed","2007-10-06","09:00","Attempted Abduction","School - Facility","100 Dudley St - Barbieri ES","Framingham","MA","Middlesex","Framingham (MA) PD","336356","Unknown","Male","10","Male","White",NA,"Unknown",NA,NA,"other","Unknown",NA,"Ignored/Refused",NA,1,1,42.2822,-71.4339
1742,"Attempted Abduction",1280512,"Closed","2016-10-27","15:45","Attempted Abduction","Street","Unknown","Concord","MA","Middlesex","Concord (MA) PD","579435","Unknown","Male","Unknown","Male","Unknown",NA,"35-40",NA,"White","candy/other","Called out",NA,"Ignored/Refused",NA,1,1,42.4567,-71.3747
1748,"Attempted Abduction",1248216,"Closed","2015-05-06","00:00","Attempted Abduction","Athletic Field","66 Fruit St","Hopkinton","MA","Middlesex","Hopkinton (MA) PD","533150","Unknown","Female","Unknown","Male","White",NA,"50-59",NA,NA,"other","Directions",NA,"Ran Away","The child told her coach.",1,1,42.219,-71.5302
1754,"Attempted Abduction",1017915,"Closed","2005-06-27","15:15","Attempted Abduction","Street","Great Rd & Thompson St","Maynard","MA","Middlesex","Maynard (MA) PD","265939","White","Female","17","Male","White",NA,"40-49",NA,"Maroon","ride",NA,NA,"Adult Intervened",NA,1,1,42.4321,-71.455
1757,"Attempted Abduction",1023107,"Closed","2005-09-04","16:15","Attempted Abduction","Parking Lot/Garage","196 E Main St - Ninety Nine Restaurant","Milford","MA","Middlesex","Ashland (MA) PD","271641","White","Female","14","Male","White",NA,"25-35","Pickup Truck","Red","ride",NA,NA,"Ran Away",NA,1,1,42.1511,-71.5274
1760,"Attempted Abduction",1287812,"Closed","2017-01-27","14:30","Attempted Abduction","Street","Pine St & Liberty St","Natick","MA","Middlesex","Natick (MA) PD","588946","Unknown","Male","10","Male","Unknown",NA,"55-65",NA,NA,"ride/other","Questions",NA,"Ignored/Refused","Ran Away",1,1,42.2875,-71.3574
1760,"Attempted Abduction",1133458,"Closed","2009-10-14","14:15","Attempted Abduction","Street","Eastleigh Ln & Windsor Ave","Natick","MA","Middlesex","Natick (MA) PD","395263","Unknown","Male","Unknown","Male","White",NA,"40-49","Van","White","other","Food/Parent sent",NA,"Ran Away",NA,1,1,42.2875,-71.3574
1776,"Attempted Abduction",1018550,"Closed","2005-04-06","14:30","Attempted Abduction","Street","Martin Dr & Maynard Rd","North Sudbury","MA","Middlesex","Sudbury (MA) PD","266586","Unknown","Female","14","Male","White",NA,"30",NA,"Brown","other","None",NA,"Unknown",NA,1,1,42.3837,-71.4282
1824,"Attempted Abduction",1078848,"Closed","2007-07-30","04:00","Attempted Abduction","Home - Residence","100 Pine Hill Rd","Chelmsford","MA","Middlesex","Chelmsford (MA) PD","333615","White","Female","15","Male","White","43",NA,"Truck",NA,"other","None",NA,"Adult Intervened",NA,1,1,42.5911,-71.3556
1830,"Attempted Abduction",1220861,"Closed","2013-08-08","00:00","Sexual Assault","Retail - Food/Conv/Gas","Unknown","Haverhill","MA","Essex","Haverhill (MA) PD","492751","Unknown","Female","7","Male","White","38",NA,NA,NA,"other","None",NA,"Adult/Child Intervened",NA,1,1,42.7856,-71.0721
1840,"Attempted Abduction",1102372,"Closed","2008-08-03","00:00","Attempted Abduction","Unknown","Unknown Address","Lawrence","MA","Essex","Lawrence (MA) PD","360669","Unknown","Female","Unknown","Male","Hispanic",NA,"Unknown",NA,"Gray","other","Unknown",NA,"Ran Away",NA,1,1,42.708,-71.1638
1841,"Attempted Abduction",1102371,"Closed","2008-08-02","00:00","Attempted Abduction","Street","Haverhill St & Margin St","Lawrence","MA","Essex","Lawrence (MA) PD","360667/360668","Hispanic/Hispanic","Female/Female","10/Unknown","Male","Hispanic",NA,"Unknown",NA,"Gray","other","Order/Demand",NA,"Ran Away",NA,2,1,42.7115,-71.167
1843,"Attempted Abduction",1149904,"Closed","2010-05-27","18:25","Attempted Abduction","Park","165 Crawford St - South Lawrence East ES","Lawrence","MA","Essex","Lawrence (MA) PD","413682","Unknown","Female","6","Male","Unknown",NA,"52-58",NA,NA,"other","None",NA,"Adult Intervened",NA,1,1,42.6911,-71.1605
1843,"Attempted Abduction",1110833,"Closed","2008-10-22","16:00","Suspicious Incident","Street","Andover St & Parker St","Lawrence","MA","Essex","Lawrence (MA) PD","369967","Unknown","Male","12","Male","Unknown",NA,"Unknown","Van","Silver","other","None",NA,"Ran Away",NA,1,1,42.6911,-71.1605
1843,"Attempted Abduction",1110834,"Closed","2008-11-18","16:00","Attempted Abduction","Street","Boxford St & S Union St","Lawrence","MA","Essex","Lawrence (MA) PD","369972","Unknown","Female","13","Male","Unknown",NA,"40-59","Van",NA,"ride",NA,NA,"Ignored/Refused",NA,1,1,42.6911,-71.1605
1843,"Attempted Abduction",1095745,"Closed","2008-05-08","00:00","Attempted Abduction","Street","Bowdoin St & S Broadway","Lawrence","MA","Essex","Lawrence (MA) PD","353251","Unknown","Female","13","Male","Unknown",NA,"Unknown","Sedan, 4 door","Red","other","None",NA,"Ran Away",NA,1,1,42.6911,-71.1605
1845,"Attempted Abduction",1123294,"Closed","2009-05-11","16:30","Attempted Abduction","Street","23 Royal Crest Dr","North Andover","MA","Essex","North Andover (MA) PD","383871","Unknown","Male","6","Male","Unknown",NA,"50-59","Van","Red","animal",NA,NA,"Fought/Broke Free",NA,1,1,42.6826,-71.109
1845,"Attempted Abduction",1172842,"Closed","2011-05-06","15:00","Attempted Abduction","Street","Waverly Rd & Middlesex St","North Andover","MA","Essex","North Andover (MA) PD","439238","Unknown","Male","10","Male/Male","White/Unknown",NA,"18-22/Unknown",NA,"Red","other","None",NA,"Ignored/Refused",NA,1,2,42.6826,-71.109
1852,"Attempted Abduction",1153840,"Closed","2010-08-06","00:00","Suspicious Incident","Library","401 Merrimack St - Pollard Memorial Library","Lowell","MA","Middlesex","Lowell (MA) PD","418023","Unknown","Unknown","Unknown","Male","White","35",NA,NA,NA,"other","None",NA,"None",NA,1,1,42.6344,-71.2983
1852,"Attempted Abduction",1245551,"Closed","2015-03-17","00:00","Attempted Abduction","Recreational - Other","35 YMCA Dr","Lowell","MA","Middlesex","Lowell (MA) PD","528776","Unknown","Male","2","Male","White","21",NA,NA,NA,"other","None",NA,"Adult/Child Intervened",NA,1,1,42.6344,-71.2983
1867,"Attempted Abduction",1083434,"Closed","2007-10-29","17:30","Attempted Abduction","School - Facility","45 Temple St - Parker MS","Reading","MA","Middlesex","Reading (MA) PD","338929","Unknown","Male","8","Male","White","53",NA,"Pickup Truck","Red","ride",NA,NA,"Ran Away",NA,1,1,42.528,-71.109
1879,"Attempted Abduction",1203270,"Closed","2012-09-22","17:54","Suspicious Incident","Street","Lemire Av & Frost Rd","Tyngsborough","MA","Middlesex","Tyngsborough (MA) PD","472790/472791","Unknown/Unknown","Unknown/Unknown","Unknown/Unknown","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Adult/Child Intervened",NA,2,1,42.6724,-71.4158
1890,"Attempted Abduction",1254876,"Closed","2015-09-19","16:19","Attempted Abduction","Street","Spruce St","Winchester","MA","Middlesex","Winchester (MA) PD","543777","Unknown","Female","10","Male","White","36",NA,NA,NA,"other","Question",NA,"Fought/Broke Free","Ran away",1,1,42.453,-71.1441
1890,"Attempted Abduction",1175514,"Closed","2011-06-22","14:01","Sexual Assault","Street","Grove St & Canterbury Rd","Winchester","MA","Middlesex","Winchester (MA) PD","442232","Unknown","Female","12","Male","Asian",NA,"22-28",NA,NA,"other","None",NA,"Fought/Broke Free",NA,1,1,42.453,-71.1441
1901,"Attempted Abduction",1150075,"Closed","2010-06-06","21:30","Sexual Assault","Trans Facility","Unknown address - Central Square Rail Station","Lynn","MA","Essex","MBTA (MA) TPD","413873","Unknown","Female","17","Male","White","23",NA,NA,NA,"other","Cigarette Lighter",NA,"Adult Intervened",NA,1,1,42.4612,-70.9467
1902,"Attempted Abduction",1182377,"Closed","2011-10-21","07:19","Attempted Abduction","Street","Adams St","Lynn","MA","Essex","Lynn (MA) PD","449937","Unknown","Male","11","Male","Black",NA,"30-39",NA,"Black","other","Knew Parent",NA,"Ran Away",NA,1,1,42.4698,-70.942
1902,"Attempted Abduction",1027329,"Closed","2005-09-14","21:00","Abduct & Release","Street","Liberty St & Essex St","Lynn","MA","Essex","MA State DA","277024","Unknown","Female","13","Male","Hispanic","40",NA,NA,NA,"ride",NA,NA,"Ran Away",NA,1,1,42.4698,-70.942
1905,"Attempted Abduction",1181807,"Closed","2011-10-14","07:19","Abduct & Release","Street","Holyoke St","Lynn","MA","Esex","Lynn (MA) PD","449299","Unknown","Female","14","Male","Black",NA,"17-19",NA,"Red","other","None",NA,"Fought/Broke Free",NA,1,1,42.4694,-70.9728
1906,"Attempted Abduction",1305393,"Closed","2016-11-11","16:00","Exposure","Retail - Other","1160 Broadway","Saugus","MA","Essex","Saugus (MA) PD","612312/612315","Unknown/Unknown","Female/Female","11/7","Male","Hispanic","34",NA,NA,NA,"other","None",NA,"Adult/Child Intervened",NA,2,1,42.4633,-71.0111
1907,"Attempted Abduction",1222976,"Closed","2013-09-11","20:00","Attempted Abduction","Street","Norfolk Ave & Stetson Ave","Swampscott","MA","Essex","Swampscott (MA) PD","495410","Unknown","Female","16","Male","Hispanic",NA,"30-39",NA,"White","other","None",NA,"Fought/Broke Free",NA,1,1,42.4746,-70.9098
1907,"Attempted Abduction",1079766,"Closed","2007-09-18","15:40","Attempted Abduction","Unknown","Jessie St & Burpee Rd","Swampscott","MA","Essex","Swampscott (MA) PD","334750","White","Male","11","Male","White",NA,"50-59","Sedan, 4 door","Tan","other","Unknown",NA,"Unknown",NA,1,1,42.4746,-70.9098
1915,"Attempted Abduction",1094695,"Closed","2007-07-25","00:00","Exposure","Home - Residence","139 Park St","Beverly","MA","Essex","Beverly (MA) PD","352111/352112","Unknown/Unknown","Female/Female","14/12","Male","White","48",NA,NA,NA,"other","None",NA,"Adult/Child Intervened",NA,2,1,42.5608,-70.8759
1915,"Attempted Abduction",1096924,"Closed","2008-05-23","00:00","Attempted Abduction","Outdoor - Open Area","200 Elliott St","Beverly","MA","Essex","Beverly (MA) PD","354541","Unknown","Female","13","Male","Black","25",NA,NA,NA,"other","None",NA,"Ran Away",NA,1,1,42.5608,-70.8759
1952,"Attempted Abduction",1267983,"Closed","2016-04-25","19:00","Exposure","Restaurant","418 Rte 286","Seabrook","NH","Essex","Seabrook (NH) PD","562339","Unknown","Female","14","Male","White","33",NA,NA,NA,"other","None",NA,"Other","Suspect left the area",1,1,42.8507,-70.8588
1970,"Attempted Abduction",1198902,"Closed","2012-07-09","00:00","Attempted Abduction","Park","Shore Av & West Av","Salem","MA","Essex","Salem (MA) PD","468005","Unknown","Unknown","6","Male/Male","Unknown/Unknown",NA,"Unknown/20-25",NA,"Tan","candy",NA,NA,"Ran Away",NA,1,2,42.5151,-70.9003
2019,"Attempted Abduction",1080811,"Closed","2007-10-04","07:05","Attempted Abduction","School - Bus Stop","120 Hartford Ave","Bellingham","MA","Norfolk","Bellingham (MA) PD","336001","Unknown","Female","14","Male","Hispanic","18",NA,"Sedan, 4 door","Gray","ride",NA,NA,"Ignored/Refused",NA,1,1,42.0746,-71.4768
2019,"Attempted Abduction",1080814,"Closed","2007-10-01","00:00","Attempted Abduction","School - Facility","130 Blackstone St","Bellingham","MA","Norfolk","Bellingham (MA) PD","336002","Unknown","Female","10","Male","Hispanic","18",NA,"Sedan, 4 door",NA,"ride",NA,NA,"Ignored/Refused",NA,1,1,42.0746,-71.4768
2025,"Attempted Abduction",1246265,"Closed","2015-03-26","16:00","Attempted Abduction","School - Bus Stop","Pond St","Cohasset","MA","Norfolk","Cohasset (MA) PD","529798","Unknown","Female","Unknown","Male","White","44",NA,NA,"Red","ride",NA,NA,"Ran Away",NA,1,1,42.2395,-70.8128
2026,"Attempted Abduction",1227132,"Closed","2013-12-31","20:49","Attempted Abduction","Home - Residence","Unit block Colonial Dr","Dedham","MA","Norfolk","Dedham (MA) PD","501461","Unknown","Female","Unknown","Male","Unknown",NA,"Unknown","Pickup Truck","Dark","other","None",NA,"Ran Away",NA,1,1,42.2437,-71.1637
2043,"Attempted Abduction",1206580,"Closed","2012-11-09","07:30","Attempted Abduction","Street","Bradley Pk & Harbor View Dr","Hingham","MA","Plymouth","Hingham (MA) PD","476425","Unknown","Male","8","Male","White",NA,"23-28",NA,NA,"ride",NA,NA,"Ignored/Refused",NA,1,1,42.2245,-70.8911
2048,"Attempted Abduction",1251179,"Closed","2015-07-03","00:00","Exposure","Hotel / Motel","31 Hampshire St","Mansfield","MA","Bristol","Mansfield (MA) PD","537893","Unknown","Female","13","Male","White","56",NA,NA,NA,"other","None",NA,"Unknown",NA,1,1,42.0212,-71.2178
2048,"Attempted Abduction",1251181,"Closed","2015-07-04","18:07","Suspicious Incident","Hotel / Motel","31 Hampshire St","Mansfield","MA","Bristol","Mansfield (MA) PD","537902","Unknown","Unknown","Unknown","Male","White","56",NA,NA,NA,"other","Conversation",NA,"Adult/Child Intervened",NA,1,1,42.0212,-71.2178
2072,"Attempted Abduction",1028792,"Closed","2005-09-13","16:00","Attempted Abduction","Street","Pleasant St & Lincoln St","Stoughton","MA","Norfolk","Stoughton (MA) PD","279011","White","Female","14","Male","Unknown","30",NA,"Sedan, 2 door","Gray","other","None",NA,"Fought/Broke Free",NA,1,1,42.1253,-71.1074
2072,"Attempted Abduction",1017396,"Closed","2005-06-06","14:30","Attempted Abduction","Street","Canton St & Central St","Stoughton","MA","Norfolk","Stoughton (MA) PD","265443","White","Male","13","Male","White",NA,"60-69",NA,"Green","other","None",NA,"Ran Away",NA,1,1,42.1253,-71.1074
2081,"Attempted Abduction",1301442,"Closed","2016-10-18","00:00","Exposure","Street","Rte 1A","Walpole","MA","Norfolk","Walpole (MA) PD","606938/606939/606940","Unknown/Unknown/Unknown","Female/Female/Female","Unknown/Unknown/Unknown","Male","White","41",NA,NA,"Green","other","None",NA,"None",NA,3,1,42.1444,-71.2544
2111,"Attempted Abduction",1183596,"Closed","2011-11-12","14:29","Attempted Abduction","Retail - Mall/ Shop Ctr","Washington St & Summer St","Boston","MA","Suffolk","Boston (MA) PD","451312/451313/451314","Unknown/Unknown/Unknown","Male/Male/Male","Unknown/Unknown/Unknown","Male","White",NA,"27-33",NA,NA,"ride/other","Impersonated Police Officer",NA,"Ran Away",NA,3,1,42.3503,-71.0629
2118,"Attempted Abduction",1082270,"Closed","2006-07-09","15:23","Attempted Abduction","Street","393 Shawmut Ave","Boston","MA","Suffolk","Boston (MA) PD","337576","Unknown","Female","8","Male","Unknown",NA,"Unknown","Sedan, 4 door","White","other","Unknown","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1,42.3362,-71.0729
2119,"Attempted Abduction",1280066,"Closed","2016-10-25","06:22","Attempted Abduction","School - Bus Stop","Blue Hill Ave & Brookford St","Boston","MA","Suffolk","Boston (MA) PD","578865","Unknown","Female","Unknown","Male","Black",NA,"Unknown",NA,NA,"other","None",NA,"Adult/Child Intervened","Fought/Broke free; Screamed",1,1,42.3251,-71.0953
2119,"Attempted Abduction",1224826,"Closed","2013-10-31","07:37","Abduct & Release","Street","Dudley St & Shirley St","Boston","MA","Suffolk","Boston (MA) PD","498086","Unknown","Female","12","Male","Black",NA,"20-29",NA,"Silver","other","None",NA,"Fought/Broke Free",NA,1,1,42.3251,-71.0953
